,일시,count,사고번호,사망자수,중상자수,경상자수,부상신고자수,사상자합계
249,2022-07-29,2,4044145800200652,0,0,1,1,0.0101
87,2022-07-30,4,8088292000401674,0,0,1,8,0.0332
116,2022-07-31,3,6066219300301046,0,1,2,0,0.1304
240,2022-08-01,2,4044160200200805,1,1,0,0,1.1168
304,2022-08-02,1,2022080200100355,0,1,0,0,0.1168
305,2022-08-03,1,2022080300100496,0,0,1,0,0.0068
247,2022-08-04,2,4044160800200588,0,1,2,0,0.1304
306,2022-08-05,1,2022080500100238,0,0,0,1,0.0033
106,2022-08-06,3,6066241800300849,0,2,5,0,0.2676
307,2022-08-07,1,2022080700100317,0,0,5,0,0.033999999999999996
188,2022-08-08,2,4044161600200658,1,0,1,0,1.0068
177,2022-08-09,2,4044161800200360,0,1,1,0,0.1236
176,2022-08-10,2,4044162000200424,0,1,1,0,0.1236
108,2022-08-11,3,6066243300301481,0,1,5,0,0.1508
120,2022-08-12,3,6066243600301462,0,0,2,1,0.0169
119,2022-08-13,3,6066243900301123,0,0,4,0,0.0272
308,2022-08-15,1,2022081500100434,0,0,0,1,0.0033
118,2022-08-16,3,6066244800300774,0,1,3,0,0.1372
117,2022-08-17,3,6066245100301201,0,0,1,2,0.013399999999999999
26,2022-08-18,5,10110409000501680,0,1,9,0,0.178
1,2022-08-19,8,16176655200803834,0,1,7,0,0.1644
23,2022-08-20,5,10110410000501352,0,1,5,0,0.1508
82,2022-08-21,4,8088328400400811,0,0,2,2,0.0202
85,2022-08-22,4,8088328800400880,0,1,4,2,0.1506
165,2022-08-23,2,4044164600201027,0,0,2,1,0.0169
111,2022-08-24,3,6066247200301092,0,2,0,1,0.2369
309,2022-08-25,1,2022082500100561,0,1,0,0,0.1168
79,2022-08-27,4,8088330800400930,0,1,2,1,0.13369999999999999
180,2022-08-28,2,4044165600200515,1,1,0,0,1.1168
303,2022-08-29,1,2022082900100262,0,0,2,0,0.0136
122,2022-08-30,3,6066249000300908,0,0,5,0,0.033999999999999996
197,2022-08-31,2,4044166200200528,0,0,3,0,0.020399999999999998
20,2022-09-01,6,12132540600601038,0,0,3,6,0.0402
18,2022-09-02,6,12132541200602365,0,0,9,0,0.0612
310,2022-09-03,1,2022090300100470,0,1,0,0,0.1168
193,2022-09-04,2,4044180800200575,0,0,1,1,0.0101
78,2022-09-05,4,8088362000401153,0,0,4,1,0.0305
312,2022-09-06,1,2022090600100414,0,0,1,0,0.0068
0,2022-09-07,9,18198816300903969,0,2,4,7,0.2839
105,2022-09-08,3,6066272400301213,0,1,2,2,0.137
313,2022-09-09,1,2022090900100360,0,1,0,0,0.1168
314,2022-09-10,1,2022091000100142,0,0,2,0,0.0136
77,2022-09-13,4,8088365200401192,0,2,0,10,0.26660000000000006
45,2022-09-14,5,10110457000501106,0,1,3,5,0.1537
76,2022-09-15,4,8088366000401251,0,1,4,0,0.144
101,2022-09-16,3,6066274800300854,0,1,1,1,0.1269
184,2022-09-17,2,4044183400200942,0,1,4,0,0.144
100,2022-09-18,3,6066275400300963,0,1,3,0,0.1372
16,2022-09-19,6,12132551400602531,1,2,3,0,1.254
315,2022-09-20,1,2022092000100161,0,0,1,0,0.0068
182,2022-09-21,2,4044184200200617,0,0,4,0,0.0272
21,2022-09-22,6,12132553200601789,0,1,3,6,0.157
33,2022-09-23,5,10110461500502271,0,1,4,0,0.144
168,2022-09-24,2,4044184800200076,0,1,1,0,0.1236
316,2022-09-26,1,2022092600100322,0,0,1,0,0.0068
317,2022-09-27,1,2022092700100051,0,0,0,1,0.0033
185,2022-09-28,2,4044185600201007,0,1,0,3,0.1267
99,2022-09-29,3,6066278700300807,0,0,2,1,0.0169
98,2022-09-30,3,6066279000300900,0,2,2,0,0.2472
266,2022-10-01,1,2022100100100325,0,1,0,0,0.1168
190,2022-10-02,2,4044200400200794,0,0,0,3,0.009899999999999999
192,2022-10-03,2,4044200600200637,0,1,1,0,0.1236
39,2022-10-04,5,10110502000501584,0,0,4,2,0.0338
265,2022-10-05,1,2022100500100431,0,0,0,1,0.0033
11,2022-10-06,7,14154704200702437,0,1,7,1,0.1677
164,2022-10-07,2,4044201400201133,0,0,0,3,0.009899999999999999
161,2022-10-08,2,4044201600200797,0,0,4,1,0.0305
74,2022-10-10,4,8088404000400493,1,0,9,1,1.0645
96,2022-10-11,3,6066303300300619,1,0,0,2,1.0066000000000002
35,2022-10-12,5,10110506000501446,0,8,4,1,0.9649
22,2022-10-13,6,12132607800601789,0,1,6,0,0.1576
31,2022-10-14,5,10110507000501976,0,1,2,2,0.137
19,2022-10-15,6,12132609000602483,0,3,9,1,0.4149
179,2022-10-16,2,4044203200200117,0,1,1,0,0.1236
4,2022-10-18,8,16176814400802651,0,1,9,2,0.18460000000000001
3,2022-10-19,8,16176815200802702,0,2,4,4,0.27399999999999997
191,2022-10-20,2,4044204000200353,0,0,3,0,0.020399999999999998
42,2022-10-21,5,10110510500502361,0,0,5,0,0.033999999999999996
263,2022-10-22,1,2022102200100351,0,0,0,9,0.0297
262,2022-10-23,1,2022102300100142,0,0,1,0,0.0068
254,2022-10-24,1,2022102400100628,0,0,1,0,0.0068
194,2022-10-25,2,4044205000201255,0,1,1,0,0.1236
199,2022-10-26,2,4044205200200190,0,0,1,1,0.0101
167,2022-10-27,2,4044205400200671,0,0,1,1,0.0101
10,2022-10-28,7,14154719600702174,0,1,5,7,0.1739
72,2022-10-29,4,8088411600401318,0,2,2,1,0.2505
204,2022-10-30,2,4044206000200536,0,2,0,0,0.2336
9,2022-10-31,7,14154721700702602,0,1,2,8,0.1568
241,2022-11-01,2,4044220200201099,0,0,1,1,0.0101
90,2022-11-03,4,8088441200401531,0,1,1,4,0.1368
89,2022-11-04,4,8088441600401753,0,1,3,1,0.1405
104,2022-11-05,3,6066331500300853,0,0,5,2,0.0406
258,2022-11-06,1,2022110600100143,0,0,0,1,0.0033
246,2022-11-08,2,4044221600200814,0,0,4,0,0.0272
6,2022-11-09,7,14154776300702977,0,1,1,7,0.1467
112,2022-11-10,3,6066333000301657,0,0,1,2,0.013399999999999999
212,2022-11-11,2,4044222200201055,0,0,2,1,0.0169
103,2022-11-12,3,6066333600300779,0,0,2,2,0.0202
253,2022-11-13,1,2022111300100456,0,0,1,0,0.0068
156,2022-11-14,3,6066334200300769,0,0,3,2,0.027
250,2022-11-15,1,2022111500100339,0,0,1,0,0.0068
40,2022-11-16,5,10110558000501879,0,1,4,3,0.15389999999999998
211,2022-11-17,2,4044223400200991,0,0,2,0,0.0136
30,2022-11-18,5,10110559000502941,0,1,1,5,0.1401
56,2022-11-19,4,8088447600401538,0,4,7,1,0.5181
259,2022-11-20,1,2022112000100281,0,1,1,0,0.1236
260,2022-11-21,1,2022112100100484,0,0,1,0,0.0068
132,2022-11-22,3,6066336600300497,0,0,2,1,0.0169
134,2022-11-23,3,6066336900300662,0,4,3,0,0.4876
71,2022-11-24,4,8088449600400952,0,1,3,2,0.14379999999999998
140,2022-11-25,3,6066337500300757,0,1,1,1,0.1269
141,2022-11-26,3,6066337800301360,0,0,3,0,0.020399999999999998
70,2022-11-27,4,8088450800400808,0,2,6,1,0.2777
25,2022-11-28,5,10110564000501854,0,1,5,3,0.16069999999999998
7,2022-11-29,7,14154790300701892,0,0,9,0,0.0612
237,2022-11-30,2,4044226000200900,0,0,2,0,0.0136
201,2022-12-01,2,4044240200200644,0,1,1,0,0.1236
243,2022-12-02,2,4044240400200622,0,1,1,3,0.1335
202,2022-12-03,2,4044240600200296,0,1,0,1,0.1201
175,2022-12-04,2,4044240800200730,0,1,2,0,0.1304
251,2022-12-05,1,2022120500100405,0,0,1,0,0.0068
174,2022-12-06,2,4044241200201176,0,1,1,2,0.1302
12,2022-12-07,7,14154844900701459,1,1,3,13,1.1801
252,2022-12-08,1,2022120800100536,0,0,1,0,0.0068
84,2022-12-09,4,8088483600400788,0,0,3,2,0.027
83,2022-12-10,4,8088484000400911,0,1,2,1,0.13369999999999999
145,2022-12-11,3,6066363300300744,0,1,2,3,0.1403
80,2022-12-12,4,8088484800401310,0,0,1,3,0.0167
198,2022-12-13,2,4044242600200623,0,2,0,0,0.2336
195,2022-12-14,2,4044242800200259,0,0,3,0,0.020399999999999998
133,2022-12-15,3,6066364500301143,0,0,3,0,0.020399999999999998
255,2022-12-16,1,2022121600100415,0,0,3,0,0.020399999999999998
187,2022-12-17,2,4044243400200440,0,0,3,1,0.0237
261,2022-12-19,1,2022121900100018,0,0,0,1,0.0033
130,2022-12-20,3,6066366000300823,0,0,1,3,0.0167
257,2022-12-22,1,2022122200100371,0,0,1,0,0.0068
256,2022-12-23,1,2022122300100061,0,0,1,0,0.0068
159,2022-12-24,3,6066367200300475,0,0,3,0,0.020399999999999998
160,2022-12-25,3,6066367500300766,0,0,3,0,0.020399999999999998
5,2022-12-26,7,14154858200701795,0,1,4,3,0.15389999999999998
151,2022-12-27,3,6066368100301205,0,0,0,3,0.009899999999999999
38,2022-12-28,5,10110614000501640,0,2,2,1,0.2505
163,2022-12-29,2,4044245800200715,0,1,2,0,0.1304
73,2022-12-30,4,8088492000401123,0,1,7,1,0.1677
336,2022-12-31,1,2022123100100137,0,0,2,0,0.0136
