사고일시,요일,시군구,요일_label,노면상태,노면상태_label,기상상태,도로형태,기상상태_label,도로형태_label,사상자합계
2022년 6월 23일 08시,목요일,세종특별자치시 어진동,3,건조,0,흐림,단일로 - 기타,1,1,1
2022년 6월 23일 10시,목요일,세종특별자치시 어진동,3,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 6월 23일 12시,목요일,세종특별자치시 조치원읍,3,젖음/습기,1,비,교차로 - 교차로안,4,0,4
2022년 6월 23일 17시,목요일,세종특별자치시 조치원읍,3,젖음/습기,1,흐림,교차로 - 교차로안,1,0,1
2022년 6월 24일 00시,금요일,세종특별자치시 집현동,4,젖음/습기,1,비,교차로 - 교차로안,4,0,5
2022년 6월 24일 01시,금요일,세종특별자치시 연기면,4,젖음/습기,1,비,단일로 - 기타,4,1,1
2022년 6월 24일 12시,금요일,세종특별자치시 한솔동,4,건조,0,맑음,단일로 - 기타,0,1,1
2022년 6월 24일 18시,금요일,세종특별자치시 아름동,4,건조,0,맑음,단일로 - 기타,0,1,1
2022년 6월 25일 11시,토요일,세종특별자치시 나성동,6,건조,0,맑음,교차로 - 교차로횡단보도내,0,7,1
2022년 6월 25일 12시,토요일,세종특별자치시 장군면,6,건조,0,맑음,단일로 - 기타,0,1,2
2022년 6월 25일 19시,토요일,세종특별자치시 부강면,6,건조,0,맑음,교차로 - 교차로안,0,0,2
2022년 6월 25일 21시,토요일,세종특별자치시 소담동,6,건조,0,맑음,단일로 - 기타,0,1,1
2022년 6월 25일 22시,토요일,세종특별자치시 도담동,6,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 6월 26일 06시,일요일,세종특별자치시 조치원읍,0,건조,0,맑음,교차로 - 교차로횡단보도내,0,7,1
2022년 6월 26일 09시,일요일,세종특별자치시 나성동,0,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 6월 26일 15시,일요일,세종특별자치시 조치원읍,0,건조,0,맑음,교차로 - 교차로안,0,0,2
2022년 6월 26일 18시,일요일,세종특별자치시 대평동,0,건조,0,맑음,단일로 - 기타,0,1,1
2022년 6월 27일 22시,월요일,세종특별자치시 새롬동,1,건조,0,흐림,교차로 - 교차로안,1,0,2
2022년 6월 28일 08시,화요일,세종특별자치시 산울동,5,건조,0,맑음,단일로 - 기타,0,1,1
2022년 6월 28일 09시,화요일,세종특별자치시 금남면,5,건조,0,맑음,단일로 - 기타,0,1,1
2022년 6월 28일 12시,화요일,세종특별자치시 조치원읍,5,건조,0,맑음,단일로 - 기타,0,1,3
2022년 6월 28일 16시,화요일,세종특별자치시 고운동,5,건조,0,맑음,교차로 - 교차로안,0,0,2
